,pcstrip,Year,PracticeListSize,HBT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
611,ML118AJ,2018,2998.0,S08000023,294329.0,653703.0,S01012590,S02002357,6.0,S99999999,S12000029,-122.0,6.437286439264564,0.13469987269416997,5.976804596685477,6.039931038076447,1.4971453513736248,4.815840173983644,0.9363077122735657,0.0,0.008207591279956416,19.86121058766602,0.08159578062341574,-0.40699891599881605,-0.7423396648707458,-0.7370253715666594,1.111159448072422,-0.1411808600233231,1.1856852773646032,-0.16048307229420505,-0.7019102934181848,-0.35714867564269953,-0.7391365952898463
612,ML118HJ,2018,5971.25,S08000023,297906.0,646178.0,S01012584,S02002356,6.0,S99999999,S12000029,2.0,7.104955521148817,0.14595193970236656,9.26666604725716,9.332243131175366,1.342311574612804,6.054004741089684,0.46157336253645065,0.0014957039020633625,0.1439246794172467,24.44253597416755,0.5887795853372456,-0.32059968508789793,1.29581088460728,1.2919328818222329,0.5846190889239352,1.1908546601885182,-0.34545145343031936,-0.15890909151017626,0.8040667254415239,1.881498291312271,1.859818962572609
613,ML119SB,2018,3662.25,S08000023,279532.0,643226.0,S01012649,S02002370,3.0,S99999999,S12000029,97.0,6.738374967006387,0.07340498626561183,7.4540998590816665,7.563613870554462,1.586209357395882,5.93930926810949,0.20139738575355412,0.0013581051716644937,0.10352248451230567,22.103667940257054,0.31031271420497836,-0.8776529782561541,0.17288129383280737,0.2019769985255825,1.414037765060094,1.0674635956435161,-1.1845838961181827,-0.1590538913982128,0.35574604693726697,0.7386194541860581,-1.353255006104722
614,ML11TA,2018,7440.5,S08000023,275643.0,656501.0,S01011474,S02002155,1.0,S99999999,S12000044,-65.0,6.657696636636108,0.06571271017439054,5.020956183054716,5.084248663721244,1.1862715666408035,4.730893292706064,1.046696903196845,0.0,0.09514988647030713,18.771519773075454,0.2490267513449349,-0.9367182804581254,-1.3345114018053508,-1.3259852229521771,0.0539767216191025,-0.23256795524397353,1.541717961746852,-0.16048307229420505,0.26283998468337827,-0.8896218861658882,-0.36960187792934235
615,ML11TB,2018,13684.25,S08000023,275664.0,656426.0,S01011474,S02002155,1.0,S99999999,S12000044,-65.0,6.956939923563673,0.13999557202548985,4.999525431036571,5.062912343970091,1.2001306990104406,4.9750701241009425,0.6498180597141205,0.0,0.058651764901270394,18.98486672238476,0.4763419781795747,-0.36633577837012954,-1.347788282810148,-1.3391341896454587,0.10110721657995184,0.03012104529088087,0.2616846646654212,-0.16048307229420505,-0.1421593641010187,-0.7853707228698688,-1.270085761565816
616,ML126BE,2018,7353.75,S08000023,304401.0,637603.0,S01012576,S02002355,7.0,S99999999,S12000029,-16.0,5.4015902279923935,0.18739994687937378,7.26952231438003,7.3215981548606,0.8170730943184354,5.606223406610621,0.92171552706335,0.0007976771640981462,0.05290684380817342,20.25639803488887,-0.7051537622463582,-0.0023402985880666273,0.05853093902088259,0.052829600003990125,-1.2015496905150416,0.7091249623276934,1.1386218391063523,-0.15964364911264015,-0.20590755719969786,-0.16404185491550072,0.11840617196357964
617,ML12PJ,2018,9559.5,S08000023,275876.0,656091.0,S01011381,S02002138,1.0,S99999999,S12000044,102.0,6.345913869615739,0.09578708798316436,7.315438543205537,7.38932893929969,1.256678844035277,6.096288051526966,0.4682869219972546,0.0012651213540035933,0.05633572985113346,21.653548835812092,0.012186115299113188,-0.7057915439829844,0.08697717860170254,0.09457015503346375,0.29340944683913345,1.2363436629518967,-0.32379854904178107,-0.15915174147537178,-0.167859116492195,0.5186704911843958,-1.2498446806597552
618,ML13JX,2018,12809.75,S08000023,274873.0,657169.0,S01011480,S02002156,1.0,S99999999,S12000044,13.0,6.905604562145196,0.11301421394165367,5.602012360335126,5.6480469698689575,1.2740562275343648,4.597879314777413,1.2003550297653125,0.0,0.10877738254005025,19.738956318032894,0.43734591766542835,-0.5735126984575575,-0.9745327264736359,-0.9785323709267324,0.35250439330423816,-0.3756663348880931,2.037303759792428,-0.16048307229420505,0.41405672671127636,-0.41688775261764555,1.1761782624906378
619,ML14LT,2018,2400.5,S08000023,276185.0,659779.0,S01011461,S02002153,1.0,S99999999,S12000044,87.0,6.637718831613136,0.0140209071636224,4.775463608683702,4.869546401606166,1.2482679494122475,4.0535683242896505,1.331697430401091,0.0,0.13450458431854787,18.15481984448591,0.23385094129725859,-1.3336348666529718,-1.4866001243441407,-1.4583001172942929,0.26480667315357515,-0.9612440461498744,2.4609157736178107,-0.16048307229420505,0.699537171139839,-1.1909699259113438,0.44188582981343844
620,ML14TH,2018,3080.25,S08000023,276372.0,660502.0,S01011499,S02002160,1.0,S99999999,S12000044,77.0,7.287944893445697,0.0,6.985893052030833,7.01927336418078,1.2487533302359621,6.373689976878822,0.6266175087281425,0.0,0.07325271914072562,22.5562790734694,0.7277844435550427,-1.4412946943742175,-0.11718440510238108,-0.1334845652112879,0.26645729873792223,1.5347767046980993,0.18685709887208346,-0.16048307229420505,0.01985930163839221,0.9597861374260839,-0.8007614878141921
