,pcstrip,Year,Number_of_Patients,HB,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
20,CF144XW,2018,0.0,7A4,317551.0,179319.0,W01001770,W02000384,C1,W99999999,W06000015,-2,1.5245753749226119,0.0,0.6661818753413707,0.6661818753413707,0.028710881424059722,0.06574791846109676,0.721620515451952,0.0,0.0,3.006836565601091,-1.8770428427449386,-0.784571317585345,-2.4096106215780044,-2.4130750780844696,-2.0437038676380324,-2.496612623462565,0.616592650397901,-0.16523956233555795,-0.5519779495798715,-2.297257429904635,-5.175314099932282
21,CF145YU,2018,5917.0,7A4,317664.0,181744.0,W01001791,W02000371,C1,W99999999,W06000015,83,7.08157974958188,0.3868644277108327,7.569626614135042,7.594380706739573,1.1507729470155295,5.558737970087604,0.1520565872291881,0.0,0.02956106961971357,21.924392388364605,0.21113672065417294,1.8902572951178171,-0.11629527199011654,-0.12699754874545383,-0.4133609083406485,0.041861561621366665,-0.8536306005649007,-0.16523956233555795,-0.13913961173892875,-0.18592613264969968,0.8163866923871487
22,CF147EZ,2018,10875.0,7A4,314845.0,180618.0,W01001895,W02000376,C1,W99999999,W06000015,114,7.373121081576652,0.21787418172698497,7.398421520632017,7.456127283674251,1.0082123691606493,4.931347424663434,0.3312938102841099,0.1513511834612288,0.051381094559463304,21.469327334547312,0.3206904676574706,0.7218377846964293,-0.17316938103480262,-0.1726166268803763,-0.6204997480772491,-0.24807428180026858,-0.3909630759630155,-0.14952711061385338,0.16559032339734525,-0.2367145695605256,0.495011762294
23,CF149BB,2018,14345.0,7A4,317248.0,182767.0,W01001795,W02000368,C1,W99999999,W06000015,114,7.023577383149598,0.4106021973667084,10.412464345007642,10.457037075507525,0.8767612742813662,7.606076079468983,0.22003971230037245,0.0035458188507428135,0.11010586470816981,26.597639540925297,0.18934092060675903,2.054383177285389,0.8280917190379272,0.8175848106985986,-0.8114966399607677,0.9879974347901661,-0.6781448188991849,-0.16487145482405982,0.985717497757632,0.33564087449697405,3.2040101326251333
24,CF157YG,2018,6859.0,7A5,312201.0,183534.0,W01001241,W02000277,C1,W99999999,W06000016,22,7.121795080025241,0.26786023611664306,10.522269163023095,10.60275370587766,1.7757108093508485,7.458522793404143,0.4912026752441011,0.0,0.009927633716504482,27.71784530001864,0.226248609273537,1.0674475615083026,0.8645687365475287,0.8656665015459348,0.49466644157218753,0.9198086698225338,0.021811890374562153,-0.16523956233555795,-0.41333249950176554,0.46066365760371364,1.6026025008650133
25,CF158DZ,2018,8669.0,7A4,313286.0,180078.0,W01001954,W02000372,C1,W99999999,W06000015,101,6.248484216022068,0.2076047767466173,7.180374996423394,7.230363721215336,0.6271139435529549,5.700782662468139,0.4086427505993555,0.0,0.025101628759515035,20.42299207060447,-0.10191919045357122,0.65083384556596,-0.2456041523428008,-0.24711117007129277,-1.17423126974785,0.10750464150085932,-0.1913011857803728,-0.16523956233555795,-0.20141841883583464,-0.3534928897030117,-0.2561556819106694
26,CF235RH,2018,13135.0,7A4,319389.0,178302.0,W01001824,W02000395,C1,W99999999,W06000015,-36,8.010470406666341,0.3685126082615736,7.206829728168425,7.269226681484309,1.1897167477935968,5.116106935695277,0.4511467888674574,0.09282123295614372,0.03390806252956072,22.498001401724697,0.5601899795649289,1.7633705403740285,-0.23681592491784847,-0.2342876726000801,-0.3567760247109414,-0.16269141294468276,-0.08158492352238923,-0.15560336981813302,-0.07843120874153248,-0.12190736227359261,1.7736533452568226
27,CF235SY,2018,9340.0,7A4,319285.0,178155.0,W01001824,W02000395,C1,W99999999,W06000015,-36,6.293087598890627,0.3292842762713711,7.5789488366845,7.619902856700825,0.9947568627974737,5.435274273381662,0.44412951831636865,0.0,0.06487456129372893,21.116435386358326,-0.08515838439962582,1.492140989864817,-0.11319844180260029,-0.11857607947952865,-0.6400504402677215,-0.015194687149785438,-0.09969870111834707,-0.16523956233555795,0.3540348029087145,-0.2760997745913007,1.377503065440472
28,CF237SD,2018,10489.0,7A4,320575.0,181312.0,W01001816,W02000375,C1,W99999999,W06000015,-26,8.77493900932616,0.13022552858808542,7.601039631591795,7.641390522580746,1.34205282332057,5.439319148668642,0.2021953527761066,0.0,0.015496071529698126,23.530122385260306,0.8474576520926095,0.11582413110700529,-0.10585990851054553,-0.11148585714015051,-0.1354335020480103,-0.013325429896198613,-0.7242067111137743,-0.16523956233555795,-0.3355658746555367,-0.006715455057433901,-0.3732162220454047
29,CF238SQ,2018,9907.0,7A4,320293.0,181915.0,W01001844,W02000369,C1,W99999999,W06000015,4,7.007025811449073,0.2705804298965486,7.583468861000327,7.6491779552621075,0.9910110498228979,6.0329558460055654,0.2512680918947146,0.09179893278407072,0.051122539957157466,22.29381811711498,0.1831212649367398,1.0862553185244819,-0.11169689561280521,-0.10891626072738304,-0.6454930623803631,0.2610117557431694,-0.5975345704363695,-0.15570949942829826,0.16197945093466937,-0.14469564228247536,0.5691957038038402
30,CF239PN,2018,18119.0,7A4,320163.0,179926.0,W01001813,W02000383,C1,W99999999,W06000015,95,7.70593473846652,0.253544506393529,7.835542554500868,7.873790871775025,1.625892201450911,5.7164913930518715,0.1417663829064083,0.5425977613120181,0.012643750120090003,23.860017855356286,0.44575329465590324,0.9684668314843661,-0.02795834299086897,-0.034801392817933374,0.2769817697063361,0.11476411342643385,-0.8801928474047175,-0.108910031677451,-0.37540028000281395,0.030103182474913247,0.014915574237353568
31,CF240SZ,2018,1026.0,7A4,319377.0,176916.0,W01001696,W02000402,C1,W99999999,W06000015,53,11.875135065252502,0.0232759692845625,1.4542211231771125,1.4542211231771125,0.6843300344181847,0.7223225300802918,0.27380760515729574,0.0,0.06411529389940764,15.03309232736995,2.0124317298596193,-0.623638380434338,-2.147825009971124,-2.1530480695422023,-1.0910969639360986,-2.193189954476788,-0.5393530128938586,-0.16523956233555795,0.34343117140684926,-0.955043329071293,-1.1254161239394884
32,CF241AG,2018,7833.0,7A4,319592.0,177189.0,W01001833,W02000399,C1,W99999999,W06000015,-58,8.947337403959603,0.14131908715396263,7.572552712181714,7.657214492401631,1.5701768904001274,6.098555047878145,0.29646664391907435,0.026191655005006403,0.016266180545810673,24.73726122071755,0.9122405423271427,0.1925263702978528,-0.1153232260306372,-0.1062644680442542,0.1960280792802838,0.29132709929023176,-0.4808629225259785,-0.16252048802529248,-0.32481083330357535,0.12800966626960014,0.030308200725894963
