,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
20,AL74PL,2015,15542.25,Q58,06K,525501.0,211637.0,E01023946,E02004987,C1,E12000006,E07000241,-82.0,5.430976197142062,0.03969117907718354,8.746254782317438,9.040360091484331,1.7674115547472702,6.505156755945851,0.4052925757731827,0.013083549792010022,0.06880126506628219,23.20197190396189,,,,,,,,,,,0.0
21,AL87QG,2015,9796.0,Q58,06K,523855.0,214456.0,E01023960,E02004982,C1,E12000006,E07000241,-39.0,5.783168637778167,0.03412910756343361,9.229020236388177,9.388544491889052,1.8310529650751992,6.901933891704727,0.22975272242799613,0.0,0.04981381988955295,24.16858181643858,,,,,,,,,,,0.0
22,AL97SN,2015,14759.0,Q58,06K,523823.0,204652.0,E01023964,E02004993,E1,E12000006,E07000241,-127.0,5.117617145507876,0.022896946959867364,9.808269116847407,10.053696665915767,1.6536194938514963,6.538355198164415,0.22798435362994698,0.0,0.0864398655029822,23.61416980402937,,,,,,,,,,,0.0
23,B100BS,2015,6158.25,Q54,04X,409455.0,285472.0,E01009363,E02001897,A1,E12000005,E08000025,45.0,2.9685550044430653,0.005296793317253519,8.74003269425867,8.803077860609205,4.360461917902938,7.91585226908778,0.35991860649874147,0.0,0.0,24.413162451858984,,,,,,,,,,,0.0
24,B100JL,2015,8413.5,Q54,13P,410395.0,285388.0,E01009337,E02001896,A1,E12000005,E08000025,76.0,2.6475592122448304,0.0,4.836721247809831,4.881131168163108,3.0704349579369743,4.300705368828141,0.25840884188154256,0.0,0.04936005867709317,15.1582395490546,,,,,,,,,,,0.0
25,B100TU,2015,2654.75,Q54,13P,410531.0,285386.0,E01009337,E02001896,A1,E12000005,E08000025,76.0,1.4722318628583932,0.022547955556331493,7.3255992199444,7.3255992199444,4.587386190572098,6.512192269148822,0.1915932699833498,0.0,0.0065354624300600975,20.111550768063395,,,,,,,,,,,0.0
26,B100UG,2015,12551.25,Q54,13P,409690.0,285796.0,E01009332,E02006900,A1,E12000005,E08000025,-39.0,3.586070763675645,0.004791447499043346,5.429617277552949,5.511900686113925,2.6585074540282942,5.639599177679177,0.14319917934256576,0.0,0.02338420087114532,17.544068708338653,,,,,,,,,,,0.0
27,B109AB,2015,5104.5,Q54,04X,410244.0,286040.0,E01009328,E02006900,A1,E12000005,E08000025,-47.0,3.022161275605584,0.03235224967622339,6.474129120909157,6.592986351126527,4.462019092176732,6.9900060597706295,0.22793703018887,0.2840342910036302,0.008291239513226805,21.611496349548194,,,,,,,,,,,0.0
28,B109QE,2015,5480.25,Q54,13P,409479.0,286078.0,E01009332,E02006900,A1,E12000005,E08000025,-39.0,3.1604850403812925,0.0,5.608646843124661,5.731786761227856,2.6334706879476992,5.1955340316751775,0.3489691611526527,0.1073453308813585,0.02550305517025218,17.177591013266035,,,,,,,,,,,0.0
29,B111LU,2015,7811.25,Q54,04X,408839.0,284976.0,E01009368,E02001903,A1,E12000005,E08000025,-29.0,3.327263749638609,0.015730506438685694,6.518096453586367,6.670153821160434,3.634155378817031,6.572735317119044,0.3625509106331473,0.042258542287358876,0.009186717744338269,20.624848226094308,,,,,,,,,,,0.0
